slug,product_id,rating,review_date,updated_date,status,sweetness,body_level,acidity_level,descriptor_ids,method_facet,abv_bucket,wine_color
plaisir-anais-rose,TDS-0111,80,2026-09-20,2026-09-20,published,2,1,3,"lychee,red_fruit,citrus,blossom",vacuum-distillation,zero,rose
pierre-zero-rose,TDS-0049,77,2026-09-18,2026-09-20,published,,1,3,"red_currant,blackberry,blossom",vacuum-distillation,half,rose
domaine-de-montrose-rose,TDS-0061,80,2026-09-18,2026-09-20,published,2,,,red_berry,unpublished,half,rose
lyres-rum-mule,TDS-0108,76,2026-09-19,2026-09-20,published,2,,,lime_zest,not-applicable,half,
athletic-brewing-run-wild-ipa,TDS-0101,88,2026-09-18,2026-09-20,published,,,3,"hops,orange_peel",unpublished,half,
gruvi-sangria,TDS-0053,80,2026-09-18,2026-09-20,published,2,1,,blood_orange,unpublished,half,
be-free-sauvignon-blanc,TDS-0022,77,2026-09-18,2026-09-20,published,2,1,3,"citrus,grapefruit,floral",unpublished,half,white
torres-serena-sauvignon-blanc,TDS-0023,81,2026-09-18,2026-09-20,published,2,1,,citrus,unpublished,zero,white
jp-chenet-sparkling-rose,TDS-0050,78,2026-09-18,2026-09-20,published,,1,3,strawberry,unpublished,half,sparkling-rose
nooh-blanc,TDS-0115,88,2026-09-20,2026-09-20,published,2,2,4,"green_apple,white_peach,lime,jasmine,blossom",vacuum-distillation,zero,sparkling
mingle-sparkling-raspberry-rose,TDS-0043,79,2026-09-18,2026-09-20,published,2,1,3,"raspberry,blossom,red_berry",not-applicable,zero,
butter-zero-sparkling-rose,TDS-0077,76,2026-09-18,2026-09-20,published,,1,,strawberry,unpublished,half,sparkling-rose
pierre-zero-sparkling-rose,TDS-0107,78,2026-09-19,2026-09-20,published,2,,,red_berry,spinning-cone,zero,sparkling-rose
wolffer-spring-in-a-bottle,TDS-0025,82,2026-09-18,2026-09-20,published,,,3,"red_berry,pear",unpublished,half,sparkling-rose
go-brewing-sunbeam-pils,TDS-0042,85,2026-09-18,2026-09-20,published,,1,3,"bread,hops",unpublished,half,
ritual-zero-proof-tequila,TDS-0074,78,2026-09-18,2026-09-20,published,,,,pepper,not-applicable,zero,
sea-monster-tidal-wave-white,TDS-0076,78,2026-09-18,2026-09-20,published,,,3,citrus,vacuum-distillation,half,white
greenbar-unrum-cola,TDS-0087,76,2026-09-18,2026-09-20,published,2,1,3,"molasses,cinnamon,lime_zest",other,half,
magic-box-vanish-riesling,TDS-0002,80,2026-09-18,2026-09-20,published,,1,3,petrol,unpublished,zero,white
visecco-pinot-meunier,TDS-0057,85,2026-09-18,2026-09-20,published,,,,floral,vacuum-distillation,zero,sparkling
